reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,1,0,2,50,0.98,6,0,-6,f,m4~41-v1.tif,f5~58-v1.tif,7.2198879555113935
8,2,1,2,50,0.98,6,0,-6,f,m2~21-v1.tif,f5~54-v1.tif,4.501845035517607
11,0,2,2,50,0.98,6,0,-11,f,m2~27-v1.tif,f1~12-v1.tif,5.013110324941433
9,0,3,2,50,0.98,6,0,-9,f,m1~19-v1.tif,f3~39-v1.tif,4.749153211924767
9,4,4,2,50,0.98,6,0,-5,f,m1~17-v1.tif,f1~15-v1.tif,4.005515098246112
11,5,5,2,50,0.98,6,0,-6,f,m3~36-v1.tif,f3~36-v1.tif,4.172316070734494
8,7,6,2,50,0.98,6,0,-1,f,m2~210-v1.tif,f2~23-v1.tif,7.055809360627196
6,7,7,2,50,0.98,6,0,1,m,m4~49-v1.tif,f3~32-v1.tif,4.966153031370433
7,6,8,2,50,0.98,6,0,-1,f,m4~42-v1.tif,f5~52-v1.tif,4.196336730103879
4,6,9,2,50,0.98,6,0,2,m,m5~52-v1.tif,f5~54-v1.tif,4.776811224931341
5,8,10,2,50,0.98,6,0,3,m,m1~15-v1.tif,f5~56-v1.tif,6.041324174179245
6,11,11,2,50,0.98,6,0,5,m,m5~56-v1.tif,f3~36-v1.tif,7.925951636494243
2,7,12,2,50,0.98,6,0,5,m,m1~18-v1.tif,f4~46-v1.tif,4.557905414636899
2,7,13,2,50,0.98,6,0,5,m,m5~54-v1.tif,f5~54-v1.tif,4.5627421684190885
4,8,14,2,50,0.98,6,0,4,m,m5~52-v1.tif,f1~14-v1.tif,8.328379473620359
2,6,15,2,50,0.98,6,0,4,m,m3~32-v1.tif,f5~51-v1.tif,5.056486253996665
2,6,16,2,50,0.98,6,0,4,m,m2~26-v1.tif,f4~41-v1.tif,9.294589708538211
4,3,17,2,50,0.98,6,0,-1,f,m3~32-v1.tif,f2~23-v1.tif,5.38784309472334
4,4,18,2,50,0.98,6,0,0,f,m4~41-v1.tif,f4~42-v1.tif,4.604664947183427
4,6,19,2,50,0.98,6,0,2,m,m1~13-v1.tif,f5~56-v1.tif,6.052712959902439
