reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,3,0,1,50,0.98,6,0,-4,f,m4~41-v1.tif,f5~58-v1.tif,7.47683502630186
6,7,1,1,50,0.98,6,0,1,m,m2~21-v1.tif,f5~54-v1.tif,4.79096717197328
6,6,2,1,50,0.98,6,0,0,f,m2~27-v1.tif,f1~12-v1.tif,7.035695718606949
9,7,3,1,50,0.98,6,0,-2,f,m1~19-v1.tif,f3~39-v1.tif,8.870631605540964
7,5,4,1,50,0.98,6,0,-2,f,m1~17-v1.tif,f1~15-v1.tif,4.958786461629495
6,6,5,1,50,0.98,6,0,0,f,m3~36-v1.tif,f3~36-v1.tif,9.406502697883184
6,5,6,1,50,0.98,6,0,-1,f,m2~210-v1.tif,f2~23-v1.tif,7.366560511372779
2,4,7,1,50,0.98,6,0,2,m,m4~49-v1.tif,f3~32-v1.tif,8.817876163860252
-1,5,8,1,50,0.98,6,0,6,m,m4~42-v1.tif,f5~52-v1.tif,4.31556924791627
1,7,9,1,50,0.98,6,0,6,m,m5~52-v1.tif,f5~54-v1.tif,6.887962995614959
-1,6,10,1,50,0.98,6,0,7,m,m1~15-v1.tif,f5~56-v1.tif,9.425388643763286
-1,8,11,1,50,0.98,6,0,9,m,m5~56-v1.tif,f3~36-v1.tif,4.706690287473962
-2,10,12,1,50,0.98,6,0,12,m,m1~18-v1.tif,f4~46-v1.tif,5.15969475672063
1,11,13,1,50,0.98,6,0,10,m,m5~54-v1.tif,f5~54-v1.tif,6.1007086218161835
2,11,14,1,50,0.98,6,0,9,m,m5~52-v1.tif,f1~14-v1.tif,4.3647405195077384
2,12,15,1,50,0.98,6,0,10,m,m3~32-v1.tif,f5~51-v1.tif,7.926049262947654
0,11,16,1,50,0.98,6,0,11,m,m2~26-v1.tif,f4~41-v1.tif,5.635844577006276
-2,10,17,1,50,0.98,6,0,12,m,m3~32-v1.tif,f2~23-v1.tif,7.338845132608718
-3,12,18,1,50,0.98,6,0,15,m,m4~41-v1.tif,f4~42-v1.tif,8.424732381584489
-5,10,19,1,50,0.98,6,0,15,m,m1~13-v1.tif,f5~56-v1.tif,5.694746101323164
-4,9,20,1,50,0.98,6,0,13,m,m5~54-v1.tif,f1~13-v1.tif,7.820793298891159
-1,6,21,1,50,0.98,6,0,7,m,m3~35-v1.tif,f2~21-v1.tif,6.0549842942996435
3,4,22,1,50,0.98,6,0,1,m,m3~33-v1.tif,f2~22-v1.tif,7.528621641085883
4,6,23,1,50,0.98,6,0,2,m,m1~16-v1.tif,f3~39-v1.tif,4.113399296336674
2,3,24,1,50,0.98,6,0,1,m,m3~33-v1.tif,f2~21-v1.tif,9.148604833768267
