reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
8,2,0,2,50,0.98,6,0,-6,f,m4~41-v1.tif,f5~58-v1.tif,6.57863073393689
8,1,1,2,50,0.98,6,0,-7,f,m2~21-v1.tif,f5~54-v1.tif,5.866549422828234
10,-1,2,2,50,0.98,6,0,-11,f,m2~27-v1.tif,f1~12-v1.tif,8.227379836896459
11,-2,3,2,50,0.98,6,0,-13,f,m1~19-v1.tif,f3~39-v1.tif,4.722184020471275
8,-1,4,2,50,0.98,6,0,-9,f,m1~17-v1.tif,f1~15-v1.tif,6.873674324207354
7,1,5,2,50,0.98,6,0,-6,f,m3~36-v1.tif,f3~36-v1.tif,5.1866896617066045
3,1,6,2,50,0.98,6,0,-2,f,m2~210-v1.tif,f2~23-v1.tif,5.2370114925321
4,3,7,2,50,0.98,6,0,-1,f,m4~49-v1.tif,f3~32-v1.tif,6.046153263901536
6,3,8,2,50,0.98,6,0,-3,f,m4~42-v1.tif,f5~52-v1.tif,4.927029833893847
7,3,9,2,50,0.98,6,0,-4,f,m5~52-v1.tif,f5~54-v1.tif,5.195081836727236
13,3,10,2,50,0.98,6,0,-10,f,m1~15-v1.tif,f5~56-v1.tif,7.386013052541374
11,2,11,2,50,0.98,6,0,-9,f,m5~56-v1.tif,f3~36-v1.tif,7.286155454333764
9,3,12,2,50,0.98,6,0,-6,f,m1~18-v1.tif,f4~46-v1.tif,5.34818950454032
8,2,13,2,50,0.98,6,0,-6,f,m5~54-v1.tif,f5~54-v1.tif,6.51776886538282
10,4,14,2,50,0.98,6,0,-6,f,m5~52-v1.tif,f1~14-v1.tif,5.42398004297586
7,3,15,2,50,0.98,6,0,-4,f,m3~32-v1.tif,f5~51-v1.tif,5.4835720822990535
6,3,16,2,50,0.98,6,0,-3,f,m2~26-v1.tif,f4~41-v1.tif,8.029264079967259
7,5,17,2,50,0.98,6,0,-2,f,m3~32-v1.tif,f2~23-v1.tif,6.184993653466118
9,8,18,2,50,0.98,6,0,-1,f,m4~41-v1.tif,f4~42-v1.tif,4.937289765253112
5,3,19,2,50,0.98,6,0,-2,f,m1~13-v1.tif,f5~56-v1.tif,8.944567031513088
7,6,20,2,50,0.98,6,0,-1,f,m5~54-v1.tif,f1~13-v1.tif,4.9980465221345405
5,4,21,2,50,0.98,6,0,-1,f,m3~35-v1.tif,f2~21-v1.tif,6.51733829861702
4,3,22,2,50,0.98,6,0,-1,f,m3~33-v1.tif,f2~22-v1.tif,5.810326766038027
4,4,23,2,50,0.98,6,0,0,f,m1~16-v1.tif,f3~39-v1.tif,4.12014931775311
3,6,24,2,50,0.98,6,0,3,m,m3~33-v1.tif,f2~21-v1.tif,8.936067764410948
5,8,25,2,50,0.98,6,0,3,m,m1~18-v1.tif,f3~38-v1.tif,4.944821765128918
4,5,26,2,50,0.98,6,0,1,m,m3~33-v1.tif,f3~33-v1.tif,4.245458442563501
3,6,27,2,50,0.98,6,0,3,m,m2~24-v1.tif,f4~46-v1.tif,4.747966060859472
5,4,28,2,50,0.98,6,0,-1,f,m1~19-v1.tif,f1~11-v1.tif,6.758098331360952
6,3,29,2,50,0.98,6,0,-3,f,m3~35-v1.tif,f1~13-v1.tif,4.941539658810551
4,5,30,2,50,0.98,6,0,1,m,m4~43-v1.tif,f5~57-v1.tif,4.461708721485315
2,5,31,2,50,0.98,6,0,3,m,m1~12-v1.tif,f3~38-v1.tif,4.159825139754632
-1,9,32,2,50,0.98,6,0,10,m,m4~46-v1.tif,f5~57-v1.tif,6.821195066569622
0,10,33,2,50,0.98,6,0,10,m,m3~36-v1.tif,f3~36-v1.tif,4.5232841986137
1,10,34,2,50,0.98,6,0,9,m,m5~53-v1.tif,f4~44-v1.tif,5.8038362714079845
4,8,35,2,50,0.98,6,0,4,m,m4~48-v1.tif,f3~35-v1.tif,4.633191369075177
4,9,36,2,50,0.98,6,0,5,m,m2~24-v1.tif,f2~21-v1.tif,4.172347487685443
5,11,37,2,50,0.98,6,0,6,m,m1~18-v1.tif,f3~38-v1.tif,5.997295718981173
6,9,38,2,50,0.98,6,0,3,m,m2~29-v1.tif,f3~36-v1.tif,4.212668728821513
7,8,39,2,50,0.98,6,0,1,m,m5~54-v1.tif,f3~31-v1.tif,4.683901442339179
5,5,40,2,50,0.98,6,0,0,f,m5~56-v1.tif,f3~39-v1.tif,5.234193448210662
4,6,41,2,50,0.98,6,0,2,m,m3~34-v1.tif,f5~55-v1.tif,5.778751594989918
3,5,42,2,50,0.98,6,0,2,m,m3~33-v1.tif,f3~34-v1.tif,5.686269638935207
3,6,43,2,50,0.98,6,0,3,m,m2~27-v1.tif,f5~54-v1.tif,4.243057628685165
1,9,44,2,50,0.98,6,0,8,m,m4~49-v1.tif,f2~26-v1.tif,4.372773922480189
