reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
6,2,0,2,50,0.98,6,0,-4,f,m4~41-v1.tif,f5~58-v1.tif,8.31951732020803
7,2,1,2,50,0.98,6,0,-5,f,m2~21-v1.tif,f5~54-v1.tif,4.283442295868867
4,5,2,2,50,0.98,6,0,1,m,m2~27-v1.tif,f1~12-v1.tif,4.539835714811796
3,7,3,2,50,0.98,6,0,4,m,m1~19-v1.tif,f3~39-v1.tif,7.9110464548803865
-1,4,4,2,50,0.98,6,0,5,m,m1~17-v1.tif,f1~15-v1.tif,6.945160494894186
0,4,5,2,50,0.98,6,0,4,m,m3~36-v1.tif,f3~36-v1.tif,5.2945003361826934
-1,6,6,2,50,0.98,6,0,7,m,m2~210-v1.tif,f2~23-v1.tif,6.339038983309149
1,5,7,2,50,0.98,6,0,4,m,m4~49-v1.tif,f3~32-v1.tif,4.386964518430431
7,6,8,2,50,0.98,6,0,-1,f,m4~42-v1.tif,f5~52-v1.tif,5.705376551131588
6,5,9,2,50,0.98,6,0,-1,f,m5~52-v1.tif,f5~54-v1.tif,4.226304751406809
6,5,10,2,50,0.98,6,0,-1,f,m1~15-v1.tif,f5~56-v1.tif,6.567933210129281
7,5,11,2,50,0.98,6,0,-2,f,m5~56-v1.tif,f3~36-v1.tif,7.548371537439005
7,5,12,2,50,0.98,6,0,-2,f,m1~18-v1.tif,f4~46-v1.tif,5.257816248709052
4,5,13,2,50,0.98,6,0,1,m,m5~54-v1.tif,f5~54-v1.tif,4.847865230528303
1,3,14,2,50,0.98,6,0,2,m,m5~52-v1.tif,f1~14-v1.tif,4.7281059795984675
-2,4,15,2,50,0.98,6,0,6,m,m3~32-v1.tif,f5~51-v1.tif,4.1311093659576406
-1,3,16,2,50,0.98,6,0,4,m,m2~26-v1.tif,f4~41-v1.tif,4.280680935953466
2,6,17,2,50,0.98,6,0,4,m,m3~32-v1.tif,f2~23-v1.tif,4.608419621736768
1,6,18,2,50,0.98,6,0,5,m,m4~41-v1.tif,f4~42-v1.tif,4.420146340268284
1,6,19,2,50,0.98,6,0,5,m,m1~13-v1.tif,f5~56-v1.tif,4.316173081500566
1,8,20,2,50,0.98,6,0,7,m,m5~54-v1.tif,f1~13-v1.tif,4.925210008945033
-1,10,21,2,50,0.98,6,0,11,m,m3~35-v1.tif,f2~21-v1.tif,5.265344689304772
3,9,22,2,50,0.98,6,0,6,m,m3~33-v1.tif,f2~22-v1.tif,8.995634982054167
4,7,23,2,50,0.98,6,0,3,m,m1~16-v1.tif,f3~39-v1.tif,4.909632811908737
6,10,24,2,50,0.98,6,0,4,m,m3~33-v1.tif,f2~21-v1.tif,4.290279310769734
4,9,25,2,50,0.98,6,0,5,m,m1~18-v1.tif,f3~38-v1.tif,4.3218044963172995
6,10,26,2,50,0.98,6,0,4,m,m3~33-v1.tif,f3~33-v1.tif,5.333593712984289
9,12,27,2,50,0.98,6,0,3,m,m2~24-v1.tif,f4~46-v1.tif,5.472216231286511
7,13,28,2,50,0.98,6,0,6,m,m1~19-v1.tif,f1~11-v1.tif,7.995542025139335
6,13,29,2,50,0.98,6,0,7,m,m3~35-v1.tif,f1~13-v1.tif,5.766910280842026
7,13,30,2,50,0.98,6,0,6,m,m4~43-v1.tif,f5~57-v1.tif,6.760723033470294
7,11,31,2,50,0.98,6,0,4,m,m1~12-v1.tif,f3~38-v1.tif,7.42033241423673
6,9,32,2,50,0.98,6,0,3,m,m4~46-v1.tif,f5~57-v1.tif,4.424644628084752
7,9,33,2,50,0.98,6,0,2,m,m3~36-v1.tif,f3~36-v1.tif,6.415044289788247
2,8,34,2,50,0.98,6,0,6,m,m5~53-v1.tif,f4~44-v1.tif,4.1061785750655195
1,6,35,2,50,0.98,6,0,5,m,m4~48-v1.tif,f3~35-v1.tif,6.133252516878908
2,7,36,2,50,0.98,6,0,5,m,m2~24-v1.tif,f2~21-v1.tif,7.738417084924286
2,5,37,2,50,0.98,6,0,3,m,m1~18-v1.tif,f3~38-v1.tif,5.655447075202705
2,5,38,2,50,0.98,6,0,3,m,m2~29-v1.tif,f3~36-v1.tif,4.906239961913741
7,3,39,2,50,0.98,6,0,-4,f,m5~54-v1.tif,f3~31-v1.tif,5.583489137663077
