reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
8,1,0,1,50,0.98,6,0,-7,f,m4~41-v1.tif,f5~58-v1.tif,5.50844722847892
9,1,1,1,50,0.98,6,0,-8,f,m2~21-v1.tif,f5~54-v1.tif,6.19945196161534
7,1,2,1,50,0.98,6,0,-6,f,m2~27-v1.tif,f1~12-v1.tif,4.358904590165626
5,2,3,1,50,0.98,6,0,-3,f,m1~19-v1.tif,f3~39-v1.tif,4.229720231242055
5,3,4,1,50,0.98,6,0,-2,f,m1~17-v1.tif,f1~15-v1.tif,7.350727305807467
7,2,5,1,50,0.98,6,0,-5,f,m3~36-v1.tif,f3~36-v1.tif,5.316872040387312
6,4,6,1,50,0.98,6,0,-2,f,m2~210-v1.tif,f2~23-v1.tif,4.4450043354097
5,3,7,1,50,0.98,6,0,-2,f,m4~49-v1.tif,f3~32-v1.tif,4.419977132103561
3,2,8,1,50,0.98,6,0,-1,f,m4~42-v1.tif,f5~52-v1.tif,5.359764086222935
6,1,9,1,50,0.98,6,0,-5,f,m5~52-v1.tif,f5~54-v1.tif,6.912967936768856
5,1,10,1,50,0.98,6,0,-4,f,m1~15-v1.tif,f5~56-v1.tif,5.574875760995096
3,2,11,1,50,0.98,6,0,-1,f,m5~56-v1.tif,f3~36-v1.tif,4.200425627827612
3,1,12,1,50,0.98,6,0,-2,f,m1~18-v1.tif,f4~46-v1.tif,4.5929711946163145
2,3,13,1,50,0.98,6,0,1,m,m5~54-v1.tif,f5~54-v1.tif,6.241256323001487
1,0,14,1,50,0.98,6,0,-1,f,m5~52-v1.tif,f1~14-v1.tif,8.869441731907127
1,5,15,1,50,0.98,6,0,4,m,m3~32-v1.tif,f5~51-v1.tif,8.403306158128373
4,3,16,1,50,0.98,6,0,-1,f,m2~26-v1.tif,f4~41-v1.tif,4.5405986835212335
4,5,17,1,50,0.98,6,0,1,m,m3~32-v1.tif,f2~23-v1.tif,6.202640754483303
4,11,18,1,50,0.98,6,0,7,m,m4~41-v1.tif,f4~42-v1.tif,4.525148928370435
4,10,19,1,50,0.98,6,0,6,m,m1~13-v1.tif,f5~56-v1.tif,5.090405068423441
7,9,20,1,50,0.98,6,0,2,m,m5~54-v1.tif,f1~13-v1.tif,7.59125061418885
7,11,21,1,50,0.98,6,0,4,m,m3~35-v1.tif,f2~21-v1.tif,8.231175131551431
8,7,22,1,50,0.98,6,0,-1,f,m3~33-v1.tif,f2~22-v1.tif,9.926093012458498
9,6,23,1,50,0.98,6,0,-3,f,m1~16-v1.tif,f3~39-v1.tif,5.687456147262201
7,5,24,1,50,0.98,6,0,-2,f,m3~33-v1.tif,f2~21-v1.tif,7.525918233520812
5,5,25,1,50,0.98,6,0,0,f,m1~18-v1.tif,f3~38-v1.tif,6.354632995139178
5,6,26,1,50,0.98,6,0,1,m,m3~33-v1.tif,f3~33-v1.tif,5.051399451119859
5,4,27,1,50,0.98,6,0,-1,f,m2~24-v1.tif,f4~46-v1.tif,5.434868424767609
5,4,28,1,50,0.98,6,0,-1,f,m1~19-v1.tif,f1~11-v1.tif,4.306829544691389
3,3,29,1,50,0.98,6,0,0,f,m3~35-v1.tif,f1~13-v1.tif,7.882110107172396
1,1,30,1,50,0.98,6,0,0,f,m4~43-v1.tif,f5~57-v1.tif,7.448447581194185
1,1,31,1,50,0.98,6,0,0,f,m1~12-v1.tif,f3~38-v1.tif,4.0137085271238515
2,2,32,1,50,0.98,6,0,0,f,m4~46-v1.tif,f5~57-v1.tif,4.508988494736013
3,4,33,1,50,0.98,6,0,1,m,m3~36-v1.tif,f3~36-v1.tif,8.124080058400134
3,3,34,1,50,0.98,6,0,0,f,m5~53-v1.tif,f4~44-v1.tif,4.798331385363548
1,5,35,1,50,0.98,6,0,4,m,m4~48-v1.tif,f3~35-v1.tif,6.798382553679911
