reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,2,0,1,50,0.98,6,0,-5,f,m2~27-v1.tif,f4~44-v1.tif,6.037628430720442
4,2,1,1,50,0.98,6,0,-2,f,m5~55-v1.tif,f2~25-v1.tif,4.572109548802108
3,3,2,1,50,0.98,6,0,0,f,m5~56-v1.tif,f1~16-v1.tif,5.649389487710595
1,4,3,1,50,0.98,6,0,3,m,m1~18-v1.tif,f2~23-v1.tif,4.386058605542808
2,6,4,1,50,0.98,6,0,4,m,m2~210-v1.tif,f1~12-v1.tif,4.443659469577355
1,7,5,1,50,0.98,6,0,6,m,m5~56-v1.tif,f3~35-v1.tif,8.468391133759505
1,9,6,1,50,0.98,6,0,8,m,m4~45-v1.tif,f5~510-v1.tif,8.570287964320485
0,10,7,1,50,0.98,6,0,10,m,m5~55-v1.tif,f3~39-v1.tif,4.64543006224468
4,9,8,1,50,0.98,6,0,5,m,m5~56-v1.tif,f5~53-v1.tif,6.053066531645078
3,7,9,1,50,0.98,6,0,4,m,m2~22-v1.tif,f3~36-v1.tif,9.938803570306021
2,9,10,1,50,0.98,6,0,7,m,m5~51-v1.tif,f1~15-v1.tif,4.853359081600391
3,7,11,1,50,0.98,6,0,4,m,m5~56-v1.tif,f5~55-v1.tif,8.362237065589966
3,6,12,1,50,0.98,6,0,3,m,m2~23-v1.tif,f5~510-v1.tif,4.681516654818093
2,8,13,1,50,0.98,6,0,6,m,m4~410-v1.tif,f2~21-v1.tif,4.423981103812734
3,9,14,1,50,0.98,6,0,6,m,m2~21-v1.tif,f5~54-v1.tif,4.6426163924405905
3,9,15,1,50,0.98,6,0,6,m,m4~43-v1.tif,f3~35-v1.tif,4.656909910214485
1,7,16,1,50,0.98,6,0,6,m,m5~55-v1.tif,f3~37-v1.tif,6.161606256343941
1,6,17,1,50,0.98,6,0,5,m,m5~51-v1.tif,f5~55-v1.tif,4.584001329658561
1,7,18,1,50,0.98,6,0,6,m,m3~33-v1.tif,f1~15-v1.tif,5.474800622322775
-1,9,19,1,50,0.98,6,0,10,m,m1~16-v1.tif,f2~25-v1.tif,5.048091822131688
