reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
8,1,0,2,50,0.98,6,0,-7,f,m4~41-v1.tif,f5~58-v1.tif,5.580427218072637
6,-1,1,2,50,0.98,6,0,-7,f,m2~21-v1.tif,f5~54-v1.tif,6.079922885773556
6,-1,2,2,50,0.98,6,0,-7,f,m2~27-v1.tif,f1~12-v1.tif,9.022903966835262
5,-3,3,2,50,0.98,6,0,-8,f,m1~19-v1.tif,f3~39-v1.tif,4.873344125502077
3,3,4,2,50,0.98,6,0,0,f,m1~17-v1.tif,f1~15-v1.tif,4.509998316788914
4,2,5,2,50,0.98,6,0,-2,f,m3~36-v1.tif,f3~36-v1.tif,6.066496979470413
5,2,6,2,50,0.98,6,0,-3,f,m2~210-v1.tif,f2~23-v1.tif,6.1099845720787656
2,2,7,2,50,0.98,6,0,0,f,m4~49-v1.tif,f3~32-v1.tif,7.82300819374682
4,1,8,2,50,0.98,6,0,-3,f,m4~42-v1.tif,f5~52-v1.tif,6.50081989214914
4,1,9,2,50,0.98,6,0,-3,f,m5~52-v1.tif,f5~54-v1.tif,5.354137728418692
4,2,10,2,50,0.98,6,0,-2,f,m1~15-v1.tif,f5~56-v1.tif,4.234344380088597
1,2,11,2,50,0.98,6,0,1,m,m5~56-v1.tif,f3~36-v1.tif,6.661028978570078
1,1,12,2,50,0.98,6,0,0,f,m1~18-v1.tif,f4~46-v1.tif,5.429585813163624
5,0,13,2,50,0.98,6,0,-5,f,m5~54-v1.tif,f5~54-v1.tif,4.179245880070477
3,0,14,2,50,0.98,6,0,-3,f,m5~52-v1.tif,f1~14-v1.tif,8.333184336983475
4,2,15,2,50,0.98,6,0,-2,f,m3~32-v1.tif,f5~51-v1.tif,6.530805972500669
2,3,16,2,50,0.98,6,0,1,m,m2~26-v1.tif,f4~41-v1.tif,4.8108961318479215
1,3,17,2,50,0.98,6,0,2,m,m3~32-v1.tif,f2~23-v1.tif,4.158668663673772
8,8,18,2,50,0.98,6,0,0,f,m4~41-v1.tif,f4~42-v1.tif,5.536671855329036
7,6,19,2,50,0.98,6,0,-1,f,m1~13-v1.tif,f5~56-v1.tif,5.891610025797557
8,4,20,2,50,0.98,6,0,-4,f,m5~54-v1.tif,f1~13-v1.tif,4.843583210987864
7,4,21,2,50,0.98,6,0,-3,f,m3~35-v1.tif,f2~21-v1.tif,4.7677610388066665
5,5,22,2,50,0.98,6,0,0,f,m3~33-v1.tif,f2~22-v1.tif,5.5233619745333975
4,6,23,2,50,0.98,6,0,2,m,m1~16-v1.tif,f3~39-v1.tif,6.014820819874327
6,6,24,2,50,0.98,6,0,0,f,m3~33-v1.tif,f2~21-v1.tif,4.5105826973918814
6,4,25,2,50,0.98,6,0,-2,f,m1~18-v1.tif,f3~38-v1.tif,6.997194083580974
7,5,26,2,50,0.98,6,0,-2,f,m3~33-v1.tif,f3~33-v1.tif,4.470733865945909
8,3,27,2,50,0.98,6,0,-5,f,m2~24-v1.tif,f4~46-v1.tif,6.48233749642971
10,4,28,2,50,0.98,6,0,-6,f,m1~19-v1.tif,f1~11-v1.tif,9.628295017405762
9,5,29,2,50,0.98,6,0,-4,f,m3~35-v1.tif,f1~13-v1.tif,4.464717264969768
11,4,30,2,50,0.98,6,0,-7,f,m4~43-v1.tif,f5~57-v1.tif,5.201728075865516
10,0,31,2,50,0.98,6,0,-10,f,m1~12-v1.tif,f3~38-v1.tif,6.578645465995843
