reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,2,0,2,50,0.98,6,0,-5,f,m4~41-v1.tif,f5~58-v1.tif,5.458356194158221
6,4,1,2,50,0.98,6,0,-2,f,m2~21-v1.tif,f5~54-v1.tif,7.8651087771404615
4,6,2,2,50,0.98,6,0,2,m,m2~27-v1.tif,f1~12-v1.tif,7.618242838722672
5,9,3,2,50,0.98,6,0,4,m,m1~19-v1.tif,f3~39-v1.tif,5.448495621152652
2,8,4,2,50,0.98,6,0,6,m,m1~17-v1.tif,f1~15-v1.tif,7.651149754389199
2,5,5,2,50,0.98,6,0,3,m,m3~36-v1.tif,f3~36-v1.tif,5.3014508209914375
6,6,6,2,50,0.98,6,0,0,f,m2~210-v1.tif,f2~23-v1.tif,4.2526078822921995
6,4,7,2,50,0.98,6,0,-2,f,m4~49-v1.tif,f3~32-v1.tif,6.920490365886902
6,4,8,2,50,0.98,6,0,-2,f,m4~42-v1.tif,f5~52-v1.tif,6.248288740527396
6,5,9,2,50,0.98,6,0,-1,f,m5~52-v1.tif,f5~54-v1.tif,5.671958729786495
8,5,10,2,50,0.98,6,0,-3,f,m1~15-v1.tif,f5~56-v1.tif,5.681717827809089
7,6,11,2,50,0.98,6,0,-1,f,m5~56-v1.tif,f3~36-v1.tif,5.540824712297493
6,7,12,2,50,0.98,6,0,1,m,m1~18-v1.tif,f4~46-v1.tif,4.214819115201468
3,6,13,2,50,0.98,6,0,3,m,m5~54-v1.tif,f5~54-v1.tif,5.682610823920245
3,7,14,2,50,0.98,6,0,4,m,m5~52-v1.tif,f1~14-v1.tif,4.869978632705749
5,9,15,2,50,0.98,6,0,4,m,m3~32-v1.tif,f5~51-v1.tif,5.113321440349514
10,8,16,2,50,0.98,6,0,-2,f,m2~26-v1.tif,f4~41-v1.tif,8.144846400807964
6,8,17,2,50,0.98,6,0,2,m,m3~32-v1.tif,f2~23-v1.tif,5.330238312189709
6,9,18,2,50,0.98,6,0,3,m,m4~41-v1.tif,f4~42-v1.tif,5.971703506091114
4,8,19,2,50,0.98,6,0,4,m,m1~13-v1.tif,f5~56-v1.tif,4.4693998710085845
5,6,20,2,50,0.98,6,0,1,m,m5~54-v1.tif,f1~13-v1.tif,8.67917255470412
1,9,21,2,50,0.98,6,0,8,m,m3~35-v1.tif,f2~21-v1.tif,7.703396409018529
4,9,22,2,50,0.98,6,0,5,m,m3~33-v1.tif,f2~22-v1.tif,6.289336928529542
1,10,23,2,50,0.98,6,0,9,m,m1~16-v1.tif,f3~39-v1.tif,5.264794043830323
3,9,24,2,50,0.98,6,0,6,m,m3~33-v1.tif,f2~21-v1.tif,7.528491354499716
2,10,25,2,50,0.98,6,0,8,m,m1~18-v1.tif,f3~38-v1.tif,4.557666369847764
0,7,26,2,50,0.98,6,0,7,m,m3~33-v1.tif,f3~33-v1.tif,4.245611611318364
-2,5,27,2,50,0.98,6,0,7,m,m2~24-v1.tif,f4~46-v1.tif,8.048096639632012
-1,8,28,2,50,0.98,6,0,9,m,m1~19-v1.tif,f1~11-v1.tif,4.945703636045502
-1,8,29,2,50,0.98,6,0,9,m,m3~35-v1.tif,f1~13-v1.tif,6.871324983671839
2,5,30,2,50,0.98,6,0,3,m,m4~43-v1.tif,f5~57-v1.tif,7.895295079296522
2,6,31,2,50,0.98,6,0,4,m,m1~12-v1.tif,f3~38-v1.tif,4.362305642218899
5,5,32,2,50,0.98,6,0,0,f,m4~46-v1.tif,f5~57-v1.tif,7.576993978088353
4,4,33,2,50,0.98,6,0,0,f,m3~36-v1.tif,f3~36-v1.tif,5.853472803280617
1,4,34,2,50,0.98,6,0,3,m,m5~53-v1.tif,f4~44-v1.tif,6.67765851758633
-1,5,35,2,50,0.98,6,0,6,m,m4~48-v1.tif,f3~35-v1.tif,4.10621159880063
0,7,36,2,50,0.98,6,0,7,m,m2~24-v1.tif,f2~21-v1.tif,4.520806378260143
1,5,37,2,50,0.98,6,0,4,m,m1~18-v1.tif,f3~38-v1.tif,4.719890696658717
2,8,38,2,50,0.98,6,0,6,m,m2~29-v1.tif,f3~36-v1.tif,4.095999436116871
2,10,39,2,50,0.98,6,0,8,m,m5~54-v1.tif,f3~31-v1.tif,9.657279903545962
2,7,40,2,50,0.98,6,0,5,m,m5~56-v1.tif,f3~39-v1.tif,4.1895273550528085
4,8,41,2,50,0.98,6,0,4,m,m3~34-v1.tif,f5~55-v1.tif,6.082681218600364
1,6,42,2,50,0.98,6,0,5,m,m3~33-v1.tif,f3~34-v1.tif,4.835653737229816
-2,6,43,2,50,0.98,6,0,8,m,m2~27-v1.tif,f5~54-v1.tif,7.166688494382962
0,7,44,2,50,0.98,6,0,7,m,m4~49-v1.tif,f2~26-v1.tif,6.012519746496322
-3,7,45,2,50,0.98,6,0,10,m,m2~27-v1.tif,f5~52-v1.tif,4.107528303806503
-3,5,46,2,50,0.98,6,0,8,m,m4~44-v1.tif,f5~59-v1.tif,5.024411988105641
-1,3,47,2,50,0.98,6,0,4,m,m1~15-v1.tif,f4~42-v1.tif,4.3933057979034595
0,7,48,2,50,0.98,6,0,7,m,m4~44-v1.tif,f2~26-v1.tif,8.44344301493717
4,5,49,2,50,0.98,6,0,1,m,m4~43-v1.tif,f3~34-v1.tif,4.246547812883322
4,8,50,2,50,0.98,6,0,4,m,m2~22-v1.tif,f2~25-v1.tif,4.291747487483697
6,10,51,2,50,0.98,6,0,4,m,m1~12-v1.tif,f5~510-v1.tif,4.185366669143494
5,11,52,2,50,0.98,6,0,6,m,m2~26-v1.tif,f5~59-v1.tif,6.504250267628157
4,11,53,2,50,0.98,6,0,7,m,m4~49-v1.tif,f5~510-v1.tif,5.74618019331401
5,9,54,2,50,0.98,6,0,4,m,m4~45-v1.tif,f5~510-v1.tif,4.079866810420487
3,8,55,2,50,0.98,6,0,5,m,m4~44-v1.tif,f4~44-v1.tif,5.496150678918536
2,10,56,2,50,0.98,6,0,8,m,m4~410-v1.tif,f5~53-v1.tif,5.8521963682102305
2,8,57,2,50,0.98,6,0,6,m,m4~44-v1.tif,f1~11-v1.tif,4.391884899889088
0,7,58,2,50,0.98,6,0,7,m,m1~12-v1.tif,f2~21-v1.tif,7.05702291462249
2,8,59,2,50,0.98,6,0,6,m,m2~29-v1.tif,f3~31-v1.tif,4.625198190127968
