reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
8,2,0,2,50,0.98,6,0,-6,f,m4~41-v1.tif,f5~58-v1.tif,5.35305938304588
5,6,1,2,50,0.98,6,0,1,m,m2~21-v1.tif,f5~54-v1.tif,6.680252994803799
6,5,2,2,50,0.98,6,0,-1,f,m2~27-v1.tif,f1~12-v1.tif,4.975031588062808
6,4,3,2,50,0.98,6,0,-2,f,m1~19-v1.tif,f3~39-v1.tif,8.315000089110164
5,5,4,2,50,0.98,6,0,0,f,m1~17-v1.tif,f1~15-v1.tif,4.584998881080063
6,3,5,2,50,0.98,6,0,-3,f,m3~36-v1.tif,f3~36-v1.tif,5.255090367032087
6,1,6,2,50,0.98,6,0,-5,f,m2~210-v1.tif,f2~23-v1.tif,5.1894429334818515
6,2,7,2,50,0.98,6,0,-4,f,m4~49-v1.tif,f3~32-v1.tif,5.875871430270275
6,4,8,2,50,0.98,6,0,-2,f,m4~42-v1.tif,f5~52-v1.tif,4.528710213552901
3,5,9,2,50,0.98,6,0,2,m,m5~52-v1.tif,f5~54-v1.tif,4.1608977136656575
2,1,10,2,50,0.98,6,0,-1,f,m1~15-v1.tif,f5~56-v1.tif,4.337504324043772
2,1,11,2,50,0.98,6,0,-1,f,m5~56-v1.tif,f3~36-v1.tif,7.2023019913839335
2,7,12,2,50,0.98,6,0,5,m,m1~18-v1.tif,f4~46-v1.tif,5.12967223219928
2,5,13,2,50,0.98,6,0,3,m,m5~54-v1.tif,f5~54-v1.tif,5.358846217805887
1,6,14,2,50,0.98,6,0,5,m,m5~52-v1.tif,f1~14-v1.tif,4.26531629151425
2,7,15,2,50,0.98,6,0,5,m,m3~32-v1.tif,f5~51-v1.tif,6.687683147179982
1,5,16,2,50,0.98,6,0,4,m,m2~26-v1.tif,f4~41-v1.tif,5.396312429728184
5,8,17,2,50,0.98,6,0,3,m,m3~32-v1.tif,f2~23-v1.tif,6.519664256545718
6,7,18,2,50,0.98,6,0,1,m,m4~41-v1.tif,f4~42-v1.tif,4.273842975975557
2,6,19,2,50,0.98,6,0,4,m,m1~13-v1.tif,f5~56-v1.tif,6.044662494930353
5,7,20,2,50,0.98,6,0,2,m,m5~54-v1.tif,f1~13-v1.tif,8.258197415611576
6,7,21,2,50,0.98,6,0,1,m,m3~35-v1.tif,f2~21-v1.tif,6.9603357008340865
9,7,22,2,50,0.98,6,0,-2,f,m3~33-v1.tif,f2~22-v1.tif,4.974356345675932
8,5,23,2,50,0.98,6,0,-3,f,m1~16-v1.tif,f3~39-v1.tif,5.66173065867854
8,2,24,2,50,0.98,6,0,-6,f,m3~33-v1.tif,f2~21-v1.tif,4.7775404715631575
7,8,25,2,50,0.98,6,0,1,m,m1~18-v1.tif,f3~38-v1.tif,8.742398272250442
6,4,26,2,50,0.98,6,0,-2,f,m3~33-v1.tif,f3~33-v1.tif,5.843121466192315
10,4,27,2,50,0.98,6,0,-6,f,m2~24-v1.tif,f4~46-v1.tif,7.484471316689837
6,3,28,2,50,0.98,6,0,-3,f,m1~19-v1.tif,f1~11-v1.tif,6.122335290106518
6,3,29,2,50,0.98,6,0,-3,f,m3~35-v1.tif,f1~13-v1.tif,4.895374505801081
2,6,30,2,50,0.98,6,0,4,m,m4~43-v1.tif,f5~57-v1.tif,6.683222524579904
3,5,31,2,50,0.98,6,0,2,m,m1~12-v1.tif,f3~38-v1.tif,4.851214108871056
3,5,32,2,50,0.98,6,0,2,m,m4~46-v1.tif,f5~57-v1.tif,6.9994505750421325
7,4,33,2,50,0.98,6,0,-3,f,m3~36-v1.tif,f3~36-v1.tif,9.317606373182297
8,3,34,2,50,0.98,6,0,-5,f,m5~53-v1.tif,f4~44-v1.tif,5.16314496562217
12,1,35,2,50,0.98,6,0,-11,f,m4~48-v1.tif,f3~35-v1.tif,7.171633130994077
13,3,36,2,50,0.98,6,0,-10,f,m2~24-v1.tif,f2~21-v1.tif,5.113984439238601
11,3,37,2,50,0.98,6,0,-8,f,m1~18-v1.tif,f3~38-v1.tif,4.746756779539646
10,5,38,2,50,0.98,6,0,-5,f,m2~29-v1.tif,f3~36-v1.tif,4.308442326166689
9,3,39,2,50,0.98,6,0,-6,f,m5~54-v1.tif,f3~31-v1.tif,4.941727577356195
10,1,40,2,50,0.98,6,0,-9,f,m5~56-v1.tif,f3~39-v1.tif,5.147868913454705
7,4,41,2,50,0.98,6,0,-3,f,m3~34-v1.tif,f5~55-v1.tif,8.067819406628963
6,4,42,2,50,0.98,6,0,-2,f,m3~33-v1.tif,f3~34-v1.tif,4.956937498220039
8,4,43,2,50,0.98,6,0,-4,f,m2~27-v1.tif,f5~54-v1.tif,5.756833392923465
6,5,44,2,50,0.98,6,0,-1,f,m4~49-v1.tif,f2~26-v1.tif,4.990620922647265
6,7,45,2,50,0.98,6,0,1,m,m2~27-v1.tif,f5~52-v1.tif,4.492840402326366
5,11,46,2,50,0.98,6,0,6,m,m4~44-v1.tif,f5~59-v1.tif,4.991669222389381
1,10,47,2,50,0.98,6,0,9,m,m1~15-v1.tif,f4~42-v1.tif,6.319083493723417
