reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
84,27,0,1,50,0.98,6,0,-57,f,m1~17-v1.tif,f1~11-v1.tif,8.03193737664335
83,56,1,1,50,0.98,6,0,-27,f,m1~17-v1.tif,f1~11-v1.tif,5.729697978538753
62,43,2,1,50,0.98,6,0,-19,f,m1~17-v1.tif,f1~11-v1.tif,4.203781960496207
49,22,3,1,50,0.98,6,0,-27,f,m1~17-v1.tif,f1~11-v1.tif,6.510085794177009
75,24,4,1,50,0.98,6,0,-51,f,m1~17-v1.tif,f1~11-v1.tif,5.229638931160589
82,35,5,1,50,0.98,6,0,-47,f,m1~17-v1.tif,f1~11-v1.tif,4.153688053163605
92,38,6,1,50,0.98,6,0,-54,f,m1~17-v1.tif,f1~11-v1.tif,6.921808202255095
81,17,7,1,50,0.98,6,0,-64,f,m1~17-v1.tif,f1~11-v1.tif,4.2580179693413545
77,41,8,1,50,0.98,6,0,-36,f,m1~17-v1.tif,f1~11-v1.tif,4.62266913112678
81,39,9,1,50,0.98,6,0,-42,f,m1~17-v1.tif,f1~11-v1.tif,4.341841097042079
50,58,10,1,50,0.98,6,0,8,m,m1~17-v1.tif,f1~11-v1.tif,4.784584429512417
10,62,11,1,50,0.98,6,0,52,m,m1~17-v1.tif,f1~11-v1.tif,6.399007240008974
4,42,12,1,50,0.98,6,0,38,m,m1~17-v1.tif,f1~11-v1.tif,6.848627006865149
16,55,13,1,50,0.98,6,0,39,m,m1~17-v1.tif,f1~11-v1.tif,4.240488449938825
20,25,14,1,50,0.98,6,0,5,m,m1~17-v1.tif,f1~11-v1.tif,5.349900659700025
46,30,15,1,50,0.98,6,0,-16,f,m1~17-v1.tif,f1~11-v1.tif,5.455558363029097
29,44,16,1,50,0.98,6,0,15,m,m1~17-v1.tif,f1~11-v1.tif,5.028975886509411
8,39,17,1,50,0.98,6,0,31,m,m1~17-v1.tif,f1~11-v1.tif,5.6356505071546
4,61,18,1,50,0.98,6,0,57,m,m1~17-v1.tif,f1~11-v1.tif,6.981007146640923
37,65,19,1,50,0.98,6,0,28,m,m1~17-v1.tif,f1~11-v1.tif,4.104306636602121
58,78,20,1,50,0.98,6,0,20,m,m1~17-v1.tif,f1~11-v1.tif,9.268583091193896
35,79,21,1,50,0.98,6,0,44,m,m1~17-v1.tif,f1~11-v1.tif,6.073256200123155
16,57,22,1,50,0.98,6,0,41,m,m1~17-v1.tif,f1~11-v1.tif,4.8285870472836825
38,62,23,1,50,0.98,6,0,24,m,m1~17-v1.tif,f1~11-v1.tif,5.579341376404515
54,57,24,1,50,0.98,6,0,3,m,m1~17-v1.tif,f1~11-v1.tif,5.451901278174395
50,64,25,1,50,0.98,6,0,14,m,m1~17-v1.tif,f1~11-v1.tif,9.074003091999629
50,54,26,1,50,0.98,6,0,4,m,m1~17-v1.tif,f1~11-v1.tif,5.3633776353087015
59,29,27,1,50,0.98,6,0,-30,f,m1~17-v1.tif,f1~11-v1.tif,4.653123866483193
66,54,28,1,50,0.98,6,0,-12,f,m1~17-v1.tif,f1~11-v1.tif,4.842660825972963
61,65,29,1,50,0.98,6,0,4,m,m1~17-v1.tif,f1~11-v1.tif,5.777455733410066
39,27,30,1,50,0.98,6,0,-12,f,m1~17-v1.tif,f1~11-v1.tif,6.398326173043861
46,51,31,1,50,0.98,6,0,5,m,m1~17-v1.tif,f1~11-v1.tif,7.403526157621555
51,44,32,1,50,0.98,6,0,-7,f,m1~17-v1.tif,f1~11-v1.tif,5.8235779538532695
43,31,33,1,50,0.98,6,0,-12,f,m1~17-v1.tif,f1~11-v1.tif,5.26762559883855
