stim_onset, stim_duration, trial_type, rt, accuracy
3.759231399999407586e-02	1.481396116000723850e+00	0.000000000000000000e+00	nan	nan
9.609258186000261048e+00	1.492299112000182504e+00	1.000000000000000000e+00	nan	nan
1.689145581299999321e+01	1.488947458000438928e+00	2.000000000000000000e+00	3.877955569996629492e-01	0.000000000000000000e+00
2.263153615999999602e+01	1.492549039000550692e+00	3.000000000000000000e+00	3.510782379999000113e-01	0.000000000000000000e+00
3.070298127200021554e+01	1.483214355000200158e+00	4.000000000000000000e+00	4.115241469999091350e-01	0.000000000000000000e+00
3.747135873000024731e+01	1.492408322999835946e+00	5.000000000000000000e+00	5.788029670002288185e-01	0.000000000000000000e+00
4.316505522200077394e+01	1.491790696999487409e+00	6.000000000000000000e+00	6.462152730000525480e-01	0.000000000000000000e+00
5.163606746100049349e+01	1.494070427000224299e+00	7.000000000000000000e+00	nan	nan
5.743391712300035579e+01	1.492609206999986782e+00	8.000000000000000000e+00	4.588086280000425177e-01	0.000000000000000000e+00
6.359540005800045037e+01	1.492977375999544165e+00	9.000000000000000000e+00	5.017176039991682046e-01	0.000000000000000000e+00
6.947487983300015912e+01	1.492998996000096668e+00	1.000000000000000000e+01	nan	nan
7.579936438800086762e+01	1.493859500999860757e+00	1.100000000000000000e+01	nan	nan
