stim_onset, stim_duration, trial_type, rt, accuracy
3.117050199944060296e-02	1.490456575000280282e+00	0.000000000000000000e+00	nan	nan
9.611587132999375171e+00	1.492387268000129552e+00	1.000000000000000000e+00	3.667041349999635713e-01	1.000000000000000000e+00
1.689137560399922222e+01	1.492366769000000204e+00	2.000000000000000000e+00	3.543413639999926090e-01	1.000000000000000000e+00
2.263555705399994622e+01	1.491961047999211587e+00	3.000000000000000000e+00	3.200849459999517421e-01	1.000000000000000000e+00
3.069989459699991130e+01	1.486547296000026108e+00	4.000000000000000000e+00	3.541329689996928209e-01	1.000000000000000000e+00
3.746872170999995433e+01	1.485192254999674333e+00	5.000000000000000000e+00	3.391868170001544058e-01	1.000000000000000000e+00
4.315654196999912529e+01	1.494494538000253669e+00	6.000000000000000000e+00	4.953713499999139458e-01	1.000000000000000000e+00
5.164245340399975248e+01	1.481365621999430005e+00	7.000000000000000000e+00	3.808492090001891484e-01	0.000000000000000000e+00
5.742855270999916684e+01	1.492142003000481054e+00	8.000000000000000000e+00	3.237434049997318652e-01	0.000000000000000000e+00
6.359089249799944810e+01	1.492479673000161711e+00	9.000000000000000000e+00	3.667499260000113281e-01	0.000000000000000000e+00
6.947084505099974194e+01	1.489894049999747949e+00	1.000000000000000000e+01	3.760970590001306846e-01	1.000000000000000000e+00
7.579260911399978795e+01	1.492932467000173347e+00	1.100000000000000000e+01	nan	nan
