stim_onset	 stim_duration	 trial_type	 rt	 accuracy
0.015974044799804688	1.491481065750122	0.0		
8.373156070709229	1.5002620220184326	1.0		
16.180454969406128	1.4996120929718015	2.0		
26.270606040954586	1.4994230270385742	3.0	0.6625399589538574	0.0
35.66112208366394	1.499497890472412	4.0	0.728672981262207	0.0
44.20945501327515	1.5008010864257812	5.0	0.6421880722045897	1.0
50.851104021072395	1.4993929862976074	6.0	0.6433980464935303	0.0
58.32454800605774	1.4999029636383057	7.0	0.693671941757202	0.0
68.54759216308594	1.4999318122863767	8.0	0.6074020862579346	0.0
74.23872709274293	1.500290870666504	9.0	0.6132490634918213	0.0
80.10459995269774	1.4999501705169676	10.0	0.580085039138794	1.0
87.60393404960632	1.4994449615478516	11.0	0.5977909564971924	1.0
93.71147012710573	1.499452829360962	12.0	0.6679100990295409	0.0
101.37693214416504	1.4993069171905515	13.0	0.6087450981140137	1.0
108.89214515686037	1.5006918907165527	14.0	0.5478880405426024	0.0
115.54135394096375	1.4999852180480957	15.0	0.5535149574279785	0.0
121.481791973114	1.500627040863037	16.0	0.6110799312591553	1.0
129.1393120288849	1.4998810291290283	17.0	0.5363578796386719	0.0
135.30520510673523	1.5000059604644775	18.0		
144.12081909179688	1.5002520084381104	19.0	0.5584681034088135	0.0
154.42809510231018	1.4991559982299805	20.0	0.636976957321167	0.0
161.30181407928467	1.499608039855957	21.0	0.726996898651123	0.0
171.24969005584717	1.5005290508270264	22.0		
177.12460899353027	1.500162124633789	23.0	0.6058869361877441	1.0
184.49847006797793	1.4998679161071775	24.0	0.6657099723815918	1.0
190.03153800964355	1.4985809326171875	25.0	0.6517119407653809	1.0
196.0466740131378	1.4996371269226074	26.0	0.7212119102478027	0.0
203.06248497962952	1.499603033065796	27.0	0.5443480014801024	1.0
213.0114390850067	1.4989769458770752	28.0		
220.68503808975217	1.4991848468780515	29.0	0.6245150566101073	1.0
226.44125509262085	1.5013840198516843	30.0	0.6661701202392578	1.0
232.8748061656952	1.5001437664031982	31.0	0.6072409152984619	0.0
238.74940395355225	1.5000920295715332	32.0	0.5355310440063477	1.0
246.35550308227536	1.5011539459228516	33.0	0.6142511367797852	1.0
255.23888015747073	1.499744892120361	34.0	0.5517349243164064	0.0
266.4695291519165	1.5002968311309814	35.0		
273.8274829387665	1.500540018081665	36.0	0.6986539363861084	0.0
281.0014441013336	1.4991209506988523	37.0	0.5935130119323729	0.0
286.79172396659845	1.5002939701080322	38.0	0.5342679023742676	0.0
292.90805196762085	1.491103172302246	39.0	0.5135159492492676	0.0
299.6487920284271	1.5004069805145264	40.0	0.6485710144042969	1.0
305.2230050563812	1.4993488788604736	41.0	0.6452739238739014	1.0
310.93912315368647	1.499835968017578	42.0	0.5691540241241455	0.0
320.10481810569763	1.499433994293213	43.0	0.569133996963501	1.0
326.9950339794159	1.4995341300964355	44.0	0.4948241710662842	1.0
334.660786151886	1.5005359649658203	45.0		
343.61766600608826	1.5004260540008545	46.0	0.6497180461883545	1.0
350.4169750213623	1.4911870956420898	47.0	0.6012139320373535	1.0
360.0067460536957	1.5000340938568115	48.0	0.5703229904174805	1.0
370.4060349464417	1.4987080097198486	49.0	0.49887299537658686	0.0
376.780079126358	1.498991012573242	50.0	0.4834811687469482	0.0
382.40322613716125	1.5000648498535156	51.0	0.4642789363861084	0.0
389.4863200187683	1.5004329681396484	52.0	0.5789070129394531	0.0
395.5937089920044	1.4998221397399902	53.0	0.6546630859375	0.0
406.8503749370575	1.4999971389770508	54.0	0.5505039691925049	1.0
413.22469115257263	1.4996368885040283	55.0	0.4900779724121094	0.0
420.89072012901306	1.4994518756866455	56.0	0.5881540775299072	0.0
426.7145869731903	1.499709129333496	57.0	0.6819190979003905	1.0
432.59666609764093	1.5001120567321775	58.0	0.6945400238037108	0.0
441.38730001449585	1.5000720024108887	59.0		
